CODE,TYPE
SBM_EXP_CIV,COUNTRY
SBM_EXP_CMR,COUNTRY
SBM_EXP_COG,COUNTRY
SBM_EXP_COL,COUNTRY
SBM_EXP_CPV,COUNTRY
SBM_EXP_CRI,COUNTRY
SBM_EXP_CUB,COUNTRY
SBM_EXP_CYM,COUNTRY
SBM_EXP_CYP,COUNTRY
SBM_EXP_CZE,COUNTRY
SBM_EXP_DEU,COUNTRY
SBM_EXP_DNK,COUNTRY
SBM_EXP_DOM,COUNTRY
SBM_EXP_DZA,COUNTRY
SBM_EXP_ECU,COUNTRY
SBM_EXP_EGY,COUNTRY
SBM_EXP_ESP,COUNTRY
SBM_EXP_EST,COUNTRY
SBM_EXP_FIN,COUNTRY
SBM_EXP_FRA,COUNTRY
SBM_EXP_GAB,COUNTRY
SBM_EXP_GBR,COUNTRY
SBM_EXP_GEO,COUNTRY
SBM_EXP_GHA,COUNTRY
SBM_EXP_GIB,COUNTRY
SBM_EXP_GIN,COUNTRY
SBM_EXP_GLP,COUNTRY
SBM_EXP_GNB,COUNTRY
SBM_EXP_GNQ,COUNTRY
SBM_EXP_GRC,COUNTRY
SBM_EXP_GTM,COUNTRY
SBM_EXP_GUY,COUNTRY
SBM_EXP_HKG,COUNTRY
SBM_EXP_HND,COUNTRY
SBM_EXP_HRV,COUNTRY
SBM_EXP_HUN,COUNTRY
SBM_EXP_IDN,COUNTRY
SBM_EXP_IND,COUNTRY
SBM_EXP_IRL,COUNTRY
SBM_EXP_IRN,COUNTRY
SBM_EXP_IRQ,COUNTRY
SBM_EXP_ISR,COUNTRY
SBM_EXP_ITA,COUNTRY
SBM_EXP_JOR,COUNTRY
SBM_EXP_JPN,COUNTRY
SBM_EXP_KHM,COUNTRY
SBM_EXP_KOR,COUNTRY
SBM_EXP_KWT,COUNTRY
SBM_EXP_LBN,COUNTRY
SBM_EXP_LBY,COUNTRY
SBM_EXP_LIE,COUNTRY
SBM_EXP_LKA,COUNTRY
SBM_EXP_LTU,COUNTRY
SBM_EXP_LVA,COUNTRY
SBM_EXP_MAR,COUNTRY
SBM_EXP_MDG,COUNTRY
SBM_EXP_MEX,COUNTRY
SBM_EXP_MKD,COUNTRY
SBM_EXP_MMR,COUNTRY
SBM_EXP_MOZ,COUNTRY
SBM_EXP_MRT,COUNTRY
SBM_EXP_MYS,COUNTRY
SBM_EXP_NCL,COUNTRY
SBM_EXP_NGA,COUNTRY
SBM_EXP_NIC,COUNTRY
SBM_EXP_NLD,COUNTRY
SBM_EXP_NOR,COUNTRY
SBM_EXP_NPL,COUNTRY
SBM_EXP_NZL,COUNTRY
SBM_EXP_OMN,COUNTRY
SBM_EXP_PAK,COUNTRY
SBM_EXP_PAN,COUNTRY
SBM_EXP_PER,COUNTRY
SBM_EXP_PHL,COUNTRY
SBM_EXP_POL,COUNTRY
SBM_EXP_PRI,COUNTRY
SBM_EXP_PRK,COUNTRY
SBM_EXP_PRT,COUNTRY
SBM_EXP_PRY,COUNTRY
SBM_EXP_PYF,COUNTRY
SBM_EXP_QAT,COUNTRY
SBM_EXP_ROU,COUNTRY
SBM_EXP_RUS,COUNTRY
SBM_EXP_SAU,COUNTRY
SBM_EXP_SCG,COUNTRY
SBM_EXP_SEN,COUNTRY
SBM_EXP_SGP,COUNTRY
SBM_EXP_SLE,COUNTRY
SBM_EXP_SLV,COUNTRY
SBM_EXP_SUR,COUNTRY
SBM_EXP_SVK,COUNTRY
SBM_EXP_SVN,COUNTRY
SBM_EXP_SWE,COUNTRY
SBM_EXP_SYR,COUNTRY
SBM_EXP_TCA,COUNTRY
SBM_EXP_THA,COUNTRY
SBM_EXP_TKL,COUNTRY
SBM_EXP_TTO,COUNTRY
SBM_EXP_TUN,COUNTRY
SBM_EXP_TUR,COUNTRY
SBM_EXP_TWN,COUNTRY
SBM_EXP_TZA,COUNTRY
SBM_EXP_UKR,COUNTRY
SBM_EXP_UMI,COUNTRY
SBM_EXP_URY,COUNTRY
SBM_EXP_USA,COUNTRY
SBM_EXP_VEN,COUNTRY
SBM_EXP_VGB,COUNTRY
SBM_EXP_VNM,COUNTRY
SBM_EXP_WOR,COUNTRY
SBM_EXP_YEM,COUNTRY
SBM_EXP_ZAF,COUNTRY
SBO_EXP_ABW,COUNTRY
SBO_EXP_AGO,COUNTRY
SBO_EXP_ANT,COUNTRY
SBO_EXP_ARE,COUNTRY
SBO_EXP_ARG,COUNTRY
SBO_EXP_ATG,COUNTRY
SBO_EXP_AUS,COUNTRY
SBO_EXP_BEL,COUNTRY
SBO_EXP_BGD,COUNTRY
SBO_EXP_BGR,COUNTRY
SBO_EXP_BHR,COUNTRY
SBO_EXP_BHS,COUNTRY
SBO_EXP_BLZ,COUNTRY
SBO_EXP_BMU,COUNTRY
SBO_EXP_BOL,COUNTRY
SBO_EXP_BRA,COUNTRY
SBO_EXP_BRB,COUNTRY
SBO_EXP_CAN,COUNTRY
SBO_EXP_CCK,COUNTRY
SBO_EXP_CHE,COUNTRY
SBO_EXP_CHL,COUNTRY
SBO_EXP_CHN,COUNTRY
SBO_EXP_CIV,COUNTRY
SBO_EXP_CMR,COUNTRY
SBO_EXP_COD,COUNTRY
SBO_EXP_COG,COUNTRY
SBO_EXP_COK,COUNTRY
SBO_EXP_COL,COUNTRY
SBO_EXP_COM,COUNTRY
SBO_EXP_CPV,COUNTRY
SBO_EXP_CRI,COUNTRY
SBO_EXP_CUB,COUNTRY
SBO_EXP_CUW,COUNTRY
SBO_EXP_CYM,COUNTRY
SBO_EXP_CYP,COUNTRY
SBO_EXP_DEU,COUNTRY
SBO_EXP_DMA,COUNTRY
SBO_EXP_DNK,COUNTRY
SBO_EXP_DOM,COUNTRY
SBO_EXP_DZA,COUNTRY
SBO_EXP_ECU,COUNTRY
SBO_EXP_EGY,COUNTRY
SBO_EXP_ESP,COUNTRY
SBO_EXP_FIN,COUNTRY
SBO_EXP_FJI,COUNTRY
SBO_EXP_FLK,COUNTRY
SBO_EXP_FRA,COUNTRY
SBO_EXP_GAB,COUNTRY
SBO_EXP_GBR,COUNTRY
SBO_EXP_GEO,COUNTRY
SBO_EXP_GHA,COUNTRY
SBO_EXP_GIB,COUNTRY
SBO_EXP_GIN,COUNTRY
SBO_EXP_GMB,COUNTRY
SBO_EXP_GNB,COUNTRY
SBO_EXP_GNQ,COUNTRY
SBO_EXP_GRC,COUNTRY
SBO_EXP_GRD,COUNTRY
SBO_EXP_GTM,COUNTRY
SBO_EXP_GUF,COUNTRY
SBO_EXP_GUY,COUNTRY
SBO_EXP_HKG,COUNTRY
SBO_EXP_HND,COUNTRY
SBO_EXP_HRV,COUNTRY
SBO_EXP_HTI,COUNTRY
SBO_EXP_IDN,COUNTRY
SBO_EXP_IMN,COUNTRY
SBO_EXP_IND,COUNTRY
SBO_EXP_IRL,COUNTRY
SBO_EXP_IRN,COUNTRY
SBO_EXP_IRQ,COUNTRY
SBO_EXP_ISL,COUNTRY
SBO_EXP_ISR,COUNTRY
SBO_EXP_ITA,COUNTRY
SBO_EXP_JAM,COUNTRY
SBO_EXP_JOR,COUNTRY
SBO_EXP_JPN,COUNTRY
SBO_EXP_KEN,COUNTRY
SBO_EXP_KGZ,COUNTRY
SBO_EXP_KIR,COUNTRY
SBO_EXP_KNA,COUNTRY
SBO_EXP_KOR,COUNTRY
SBO_EXP_KWT,COUNTRY
SBO_EXP_LBN,COUNTRY
SBO_EXP_LBR,COUNTRY
SBO_EXP_LBY,COUNTRY
SBO_EXP_LCA,COUNTRY
SBO_EXP_LTU,COUNTRY
SBO_EXP_LUX,COUNTRY
SBO_EXP_MAR,COUNTRY
SBO_EXP_MDG,COUNTRY
SBO_EXP_MEX,COUNTRY
SBO_EXP_MHL,COUNTRY
SBO_EXP_MLT,COUNTRY
SBO_EXP_MNE,COUNTRY
SBO_EXP_MOZ,COUNTRY
SBO_EXP_MRT,COUNTRY
SBO_EXP_MTQ,COUNTRY
SBO_EXP_MUS,COUNTRY
SBO_EXP_MWI,COUNTRY
SBO_EXP_MYS,COUNTRY
SBO_EXP_NGA,COUNTRY
SBO_EXP_NIC,COUNTRY
SBO_EXP_NIU,COUNTRY
SBO_EXP_NLD,COUNTRY
SBO_EXP_NOR,COUNTRY
SBO_EXP_NZL,COUNTRY
SBO_EXP_OMN,COUNTRY
SBO_EXP_PAK,COUNTRY
SBO_EXP_PAN,COUNTRY
SBO_EXP_PER,COUNTRY
SBO_EXP_PHL,COUNTRY
SBO_EXP_POL,COUNTRY
SBO_EXP_PRK,COUNTRY
SBO_EXP_PRT,COUNTRY
SBO_EXP_PRY,COUNTRY
SBO_EXP_QAT,COUNTRY
SBO_EXP_ROU,COUNTRY
SBO_EXP_RUS,COUNTRY
SBO_EXP_SAU,COUNTRY
SBO_EXP_SDN,COUNTRY
SBO_EXP_SEN,COUNTRY
SBO_EXP_SGP,COUNTRY
SBO_EXP_SHN,COUNTRY
SBO_EXP_SLE,COUNTRY
SBO_EXP_SLV,COUNTRY
SBO_EXP_STP,COUNTRY
SBO_EXP_SUR,COUNTRY
SBO_EXP_SWE,COUNTRY
SBO_EXP_SWZ,COUNTRY
SBO_EXP_SXM,COUNTRY
SBO_EXP_SYR,COUNTRY
SBO_EXP_TCA,COUNTRY
SBO_EXP_TGO,COUNTRY
SBO_EXP_THA,COUNTRY
SBO_EXP_TTO,COUNTRY
SBO_EXP_TUN,COUNTRY
SBO_EXP_TUR,COUNTRY
SBO_EXP_TUV,COUNTRY
SBO_EXP_TWN,COUNTRY
SBO_EXP_TZA,COUNTRY
SBO_EXP_URY,COUNTRY
SBO_EXP_USA,COUNTRY
SBO_EXP_VCT,COUNTRY
SBO_EXP_VEN,COUNTRY
SBO_EXP_VGB,COUNTRY
SBO_EXP_VNM,COUNTRY
SBO_EXP_VUT,COUNTRY
SBO_EXP_WOR,COUNTRY
SBO_EXP_ZAF,COUNTRY
SBS_EXP_ABW,COUNTRY
SBS_EXP_AFG,COUNTRY
SBS_EXP_AGO,COUNTRY
SBS_EXP_ANT,COUNTRY
SBS_EXP_ARE,COUNTRY
SBS_EXP_ARG,COUNTRY
SBS_EXP_ATG,COUNTRY
SBS_EXP_AUS,COUNTRY
SBS_EXP_AUT,COUNTRY
SBS_EXP_BEL,COUNTRY
SBS_EXP_BEN,COUNTRY
SBS_EXP_BGD,COUNTRY
SBS_EXP_BHR,COUNTRY
SBS_EXP_BHS,COUNTRY
SBS_EXP_BIH,COUNTRY
SBS_EXP_BLZ,COUNTRY
SBS_EXP_BOL,COUNTRY
SBS_EXP_CAN,COUNTRY
SBS_EXP_CHE,COUNTRY
SBS_EXP_CHL,COUNTRY
SBS_EXP_CHN,COUNTRY
SBS_EXP_CIV,COUNTRY
SBS_EXP_CMR,COUNTRY
SBS_EXP_COD,COUNTRY
SBS_EXP_COG,COUNTRY
SBS_EXP_COL,COUNTRY
SBS_EXP_CPV,COUNTRY
SBS_EXP_CRI,COUNTRY
SBS_EXP_CUB,COUNTRY
SBS_EXP_CYM,COUNTRY
SBS_EXP_CYP,COUNTRY
SBS_EXP_DEU,COUNTRY
SBS_EXP_DNK,COUNTRY
SBS_EXP_DOM,COUNTRY
SBS_EXP_DZA,COUNTRY
SBS_EXP_EGY,COUNTRY
SBS_EXP_ESP,COUNTRY
SBS_EXP_FIN,COUNTRY
SBS_EXP_FRA,COUNTRY
SBS_EXP_GBR,COUNTRY
SBS_EXP_GEO,COUNTRY
SBS_EXP_GHA,COUNTRY
SBS_EXP_GIB,COUNTRY
SBS_EXP_GMB,COUNTRY
SBS_EXP_GNQ,COUNTRY
SBS_EXP_GRC,COUNTRY
SBS_EXP_GTM,COUNTRY
SBS_EXP_GUF,COUNTRY
SBS_EXP_GUY,COUNTRY
SBS_EXP_HKG,COUNTRY
SBS_EXP_HRV,COUNTRY
SBS_EXP_HUN,COUNTRY
SBS_EXP_IDN,COUNTRY
SBS_EXP_IND,COUNTRY
SBS_EXP_IRL,COUNTRY
SBS_EXP_IRN,COUNTRY
SBS_EXP_IRQ,COUNTRY
SBS_EXP_ISR,COUNTRY
SBS_EXP_ITA,COUNTRY
SBS_EXP_JOR,COUNTRY
SBS_EXP_JPN,COUNTRY
SBS_EXP_KHM,COUNTRY
SBS_EXP_KOR,COUNTRY
SBS_EXP_LBN,COUNTRY
SBS_EXP_LBR,COUNTRY
SBS_EXP_LKA,COUNTRY
SBS_EXP_LTU,COUNTRY
SBS_EXP_MAR,COUNTRY
SBS_EXP_MEX,COUNTRY
SBS_EXP_MHL,COUNTRY
SBS_EXP_MLT,COUNTRY
SBS_EXP_MMR,COUNTRY
SBS_EXP_MOZ,COUNTRY
SBS_EXP_MUS,COUNTRY
SBS_EXP_MYS,COUNTRY
SBS_EXP_NAM,COUNTRY
SBS_EXP_NGA,COUNTRY
SBS_EXP_NIC,COUNTRY
SBS_EXP_NLD,COUNTRY
